4 0  0 100 38
4 0  1 100 39
4 0  2 100 36
4 0  3 100 37
4 0  4 100 26
4 0  5 100 27
4 0  6 100 24
4 0  7 100 25
4 0  8 100 14
4 0  9 100 15
4 0 10 100 12
4 0 11 100 13
4 0 12 100  2
4 0 13 100  3
4 0 14 100  0
4 0 15 100  1
4 1  0 100 42
4 1  1 100 43
4 1  2 100 40
4 1  3 100 41
4 1  4 100 30
4 1  5 100 31
4 1  6 100 28
4 1  7 100 29
4 1  8 100 18
4 1  9 100 19
4 1 10 100 16
4 1 11 100 17
4 1 12 100  6
4 1 13 100  7
4 1 14 100  4
4 1 15 100  5
4 2  0 100 46
4 2  1 100 47
4 2  2 100 44
4 2  3 100 45
4 2  4 100 34
4 2  5 100 35
4 2  6 100 32
4 2  7 100 33
4 2  8 100 22
4 2  9 100 23
4 2 10 100 20
4 2 11 100 21
4 2 12 100 10
4 2 13 100 11
4 2 14 100  8
4 2 15 100  9
4 3  0 101 38
4 3  1 101 39 
4 3  2 101 36 
4 3  3 101 37 
4 3  4 101 26 
4 3  5 101 27 
4 3  6 101 24 
4 3  7 101 25 
4 3  8 101 14 
4 3  9 101 15 
4 3 10 101 12 
4 3 11 101 13 
4 3 12 101  2 
4 3 13 101  3 
4 3 14 101  0 
4 3 15 101  1 
4 4  0 101 42
4 4  1 101 43 
4 4  2 101 40 
4 4  3 101 41 
4 4  4 101 30 
4 4  5 101 31 
4 4  6 101 28 
4 4  7 101 29 
4 4  8 101 18 
4 4  9 101 19 
4 4 10 101 16 
4 4 11 101 17 
4 4 12 101  6 
4 4 13 101  7 
4 4 14 101  4 
4 4 15 101  5 
4 5  0 101 46
4 5  1 101 47 
4 5  2 101 44 
4 5  3 101 45 
4 5  4 101 34 
4 5  5 101 35 
4 5  6 101 32 
4 5  7 101 33 
4 5  8 101 22 
4 5  9 101 23 
4 5 10 101 20 
4 5 11 101 21 
4 5 12 101 10 
4 5 13 101 11 
4 5 14 101  8 
4 5 15 101  9 






