pdg: 13 	momentum range: 1500-2000 MeV/c	theta range: 44-117 deg	chi2/ndf: 21.495716
pdg: -13	momentum range: 1500-2000 MeV/c	theta range: 44-117 deg	chi2/ndf: 61.203650
pdg: 13 	momentum range: 2000-3000 MeV/c	theta range: 44-117 deg	chi2/ndf: 59.951876
pdg: -13	momentum range: 2000-3000 MeV/c	theta range: 44-117 deg	chi2/ndf: 60.667802
pdg: 13 	momentum range: 2000-3000 MeV/c	theta range: 117-128 deg	chi2/ndf: 34.044718
pdg: -13	momentum range: 2000-3000 MeV/c	theta range: 117-128 deg	chi2/ndf: 24.737265
pdg: 13 	momentum range: 2000-3000 MeV/c	theta range: 130-150 deg	chi2/ndf: 46.292604
pdg: -13	momentum range: 2000-3000 MeV/c	theta range: 130-150 deg	chi2/ndf: 31.905930
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 17-31 deg	chi2/ndf: 103.280174
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 17-31 deg	chi2/ndf: 167.466699
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 32-44 deg	chi2/ndf: 39.225247
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 32-44 deg	chi2/ndf: 51.850150
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 44-117 deg	chi2/ndf: 581.357244
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 44-117 deg	chi2/ndf: 569.348942
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 117-128 deg	chi2/ndf: 39.022734
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 117-128 deg	chi2/ndf: 31.336329
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 130-150 deg	chi2/ndf: 27.025607
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 130-150 deg	chi2/ndf: 33.438643
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 150-180 deg	chi2/ndf: 128.867542
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 150-180 deg	chi2/ndf: 107.046571
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 17-31 deg	chi2/ndf: 481.443815
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 17-31 deg	chi2/ndf: 87.139790
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 32-44 deg	chi2/ndf: 175.979221
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 32-44 deg	chi2/ndf: 136.751737
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 44-117 deg	chi2/ndf: 2278.623572
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 44-117 deg	chi2/ndf: 1387.091293
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 117-128 deg	chi2/ndf: 158.096020
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 117-128 deg	chi2/ndf: 138.564167
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 130-150 deg	chi2/ndf: 109.356593
