#forward calorimeter crystal shape descriptions pp 156-160, Tables B.5,6,7,8,9 from Hitomi Ikeda's dissertation NWU-HEP 99-01 http://hdl.handle.net/10935/3885
#N A(mm)  B(mm)  C(mm)  D(mm)  a(mm)  b(mm)  c(mm)  d(mm)H_aA(mm)H_dD(mm)dg13(mm)dg24(mm)dg57(mm)dg68(mm)a1(deg)a2(deg)a3(deg)a4(deg)Volume(cc)Weight(kg)
32 61.586 67.404 61.316 64.221 53.290 58.324 53.055 55.568 4.521 4.351 78.649 76.983  90.894  88.969 89.987 87.313 87.312 95.388 1057 4.77 
33 61.586 67.404 64.221 61.316 53.290 58.324 55.568 53.055 4.521 4.351 76.983 78.649  88.969  90.894 95.388 87.312 87.313 89.987 1054 4.76 
34 61.335 67.153 61.328 64.221 53.040 58.073 53.067 55.568 4.521 4.351 78.471 76.810  90.716  88.795 89.988 87.313 87.314 95.386 1052 4.75 
35 73.337 81.303 61.618 64.177 63.364 70.250 53.255 55.465 4.679 5.271 85.302 86.800  98.714 100.449 93.613 84.588 88.186 93.613 1293 5.83 
37 73.337 81.303 64.177 61.618 63.364 70.250 55.465 53.255 4.679 5.272 86.800 85.302 100.449  98.714 93.613 88.186 84.588 93.613 1290 5.82 
38 64.956 72.757 61.444 61.444 56.050 62.785 53.043 53.043 4.492 4.729 79.578 79.578  92.203  92.202 93.639 86.361 86.360 93.640 1106 4.99 
39 65.206 73.008 61.444 61.444 56.300 63.036 53.043 53.043 4.492 4.729 79.765 79.765  92.390  92.390 93.640 86.360 86.360 93.640 1111 5.01 
#pentagon crystal, see Figure 4.11
#N A(mm) C(mm) D(mm) a(mm) c(mm) d(mm) B7=B9(mm) b2=b4(mm) H_aA(mm) H_dD(mm) dg13(mm) dg24(mm) dg57(mm) dg68(mm) a1(deg) a4(deg) a2(deg) a3(deg) a9(deg) Volume(cc) Weight(kg)
36 73.588 61.633 61.633 63.614 53.270 53.270 40.858 35.321 4.679 5.272 85.507 85.507 98.921 98.921 93.613 93.613 91.785 91.785 169.203 1316 5.94
