# crystal position with wrapping 200 um
#
# a crystal is rotated around the axis (sin(theta0)*cos(phi0),sin(theta0)*sin(phi0),cos(theta0)) by the alpha angle
# and then the center of the crystal is moved by the vector R (sin(theta1)*cos(phi1),sin(theta1)*sin(phi1),cos(theta1))
# R is in millimetres
#
# parameters in this file:
# crystalID alpha theta0 phi0 R theta1 phi1
1 2.07624340314 0.53250095194 0.970097841763 1297.68158264 1.48196579296 0.370690032275
2 2.0388031483 0.539184990092 0.949254151216 1297.60347953 1.4820034702 0.327184270495
2 2.00170177703 0.546963090069 0.927194683251 1297.16471336 1.48207083048 0.283638460357
2 1.96426683008 0.554013021564 0.905396963472 1297.42336615 1.48203002261 0.240120668129
2 1.92808740455 0.561458165309 0.884116204975 1297.57393822 1.4820118483 0.196489911317
2 1.89162457855 0.570148477622 0.86222978399 1297.29041569 1.48205444349 0.152973491676
2 1.85426050208 0.57854339366 0.840145829996 1297.54773743 1.48201268589 0.109108352425
2 1.8172230627 0.587838667536 0.817968398486 1297.57684011 1.48200915339 0.0654925353315
1 1.78190336481 0.598360188135 0.796304083127 1296.96141234 1.48208864219 0.0219438447705
7 2.04092536827 0.516010639874 0.985330507827 1208.01223655 1.47181321091 0.370763983369
4 2.02786906451 0.518294792772 0.948947697086 1208.01440706 1.47181850817 0.327341502118
6 2.01545696506 0.521314747164 0.912705437584 1207.43426386 1.47186749459 0.283832937661
5 1.92884442361 0.537985303183 0.920308784743 1207.5187511 1.47186002241 0.240018798679
4 1.9157820065 0.54006902317 0.88416719802 1207.99563343 1.4718162717 0.196506781845
6 1.90357398516 0.543150845523 0.847801307849 1207.63115239 1.47184797339 0.152996954105
5 1.81715098894 0.563236602221 0.854784125105 1207.56690719 1.47186641659 0.10943490483
4 1.80475438193 0.565536500138 0.820417696369 1208.02560476 1.47179126854 0.065725635975
3 1.79166483366 0.569924356681 0.78167605586 1207.22690056 1.47186859695 0.0220014180666
11 2.04590961532 0.491511579453 0.965366293189 1122.02602864 1.46083486031 0.359865433012
10 1.98874326947 0.502100281484 0.93320138114 1121.32466394 1.46088330158 0.294648951957
9 1.93307144995 0.512402707477 0.899592657949 1121.37093711 1.46089630862 0.229300871644
10 1.87580071702 0.523793154299 0.868506622332 1121.54987877 1.46086854952 0.163851206034
9 1.82105538864 0.536096111301 0.834473933151 1121.39642169 1.46090389001 0.0984691790646
8 1.76296179019 0.550363782802 0.803925871352 1121.05394856 1.46090216933 0.0331226825904
12 2.03534907108 0.468476427882 0.965485073067 1040.24891049 1.44923573902 0.359840271896
13 1.97829847098 0.478621962945 0.933235454176 1039.40096205 1.44925050081 0.294584325859
13 1.92117853582 0.488764464498 0.900221351566 1039.52241846 1.44924419708 0.229265591982
13 1.86327775906 0.499748249972 0.868177824288 1039.69041045 1.44924504069 0.163924659018
13 1.80745750145 0.511679565542 0.836232682576 1039.54098128 1.44924121079 0.0984612393759
12 1.74784316209 0.525820730466 0.801821186346 1039.20369568 1.44924171086 0.032886813335
14 2.02475341578 0.444296710998 0.965608752967 960.928400511 1.43537049649 0.359801101134
15 1.96750308409 0.454018424973 0.933548329689 959.968689016 1.43535192807 0.294507024929
15 1.90937943578 0.463862198366 0.901119940128 960.090207822 1.43536669506 0.229062055208
15 1.85059259179 0.474473526276 0.868595910171 960.649789805 1.43507846125 0.163817684937
15 1.79374690178 0.48605568336 0.836101342749 960.147435452 1.43535011617 0.098448604715
14 1.73339092408 0.499725983 0.801834983526 959.780405021 1.43533970375 0.0329029469111
16 2.01452110061 0.418913579265 0.967005355586 884.551476523 1.41937840135 0.35946312596
17 1.95618003279 0.428298973067 0.9338091196 883.318335978 1.41949888135 0.294361351339
17 1.89732279932 0.437806802138 0.901061648348 883.413638796 1.41952838707 0.229090097858
17 1.83851100022 0.448273104017 0.868472501779 883.303324528 1.41952879612 0.163830691907
17 1.78015393623 0.459070891587 0.836032125435 883.509888517 1.41951260227 0.0984270663735
16 1.71899480449 0.471573391078 0.802000512439 883.054275578 1.41939316765 0.0329559118027
22 1.956123303 0.401157673051 0.992050347426 808.364330934 1.40014725547 0.359537379228
19 1.94506561576 0.401376389052 0.933430220969 808.181612113 1.39994634613 0.294250385949
21 1.93401864684 0.403035748451 0.874557788915 808.247280078 1.39993639693 0.228884599549
20 1.77788874349 0.429024252176 0.894947108193 808.129822936 1.39993155022 0.163661668076
19 1.7668234845 0.430694361503 0.835408215259 808.414857654 1.39994891952 0.098362103743
18 1.75242222281 0.433081693047 0.77533433488 807.92908996 1.39979062966 0.032866899801
26 1.97924489767 0.367499832068 0.956997795309 735.700498225 1.37838424952 0.343426403275
25 1.88843509076 0.379892902523 0.908359185521 735.780298535 1.37839062322 0.245666538632
24 1.79815014604 0.393862917283 0.856574415288 735.710679893 1.3784696462 0.147456801003
23 1.70600464684 0.409511057469 0.810936372899 735.545789332 1.37828645465 0.0493933411996
27 1.97003752387 0.338843506641 0.957773913679 668.013458503 1.35627029822 0.343248966755
28 1.87786837706 0.350617297963 0.908751521816 668.087075745 1.35632685565 0.245534537277
28 1.78695709794 0.36362787472 0.860241302807 668.070392501 1.35632038491 0.147512446762
27 1.69313753906 0.378372377394 0.809800132092 667.924565624 1.35618177929 0.0493783992994
29 1.96113361723 0.309340168716 0.958804445559 602.688776512 1.32795592691 0.343079704494
30 1.868009424 0.320669438674 0.9088063096 602.788132557 1.32813011691 0.24536282937
30 1.77610594953 0.332740916481 0.860292519858 602.771986225 1.32812222972 0.147431606954
29 1.68112166007 0.346392476927 0.809131861128 602.758941031 1.32781304917 0.0493839564419
