tcid,theta,phi
0,0,0
1,0.2695242875841154,0.22187474331350748
2,0.387508851510188,0.10887717849596673
3,0.5002950200959729,0.11772270909637342
4,0.5014208855849644,0.3110456134183188
5,0.3900186534677481,0.3095784190843647
6,0.27697543507249467,0.6181447415456982
7,0.39286871110202354,0.5077809040589462
8,0.507394194369629,0.5161525543026393
9,0.50599625380089,0.7063327706819672
10,0.39585148657208596,0.7021354268742475
11,0.2807999851539021,0.9886804556488015
12,0.3981850514045976,0.8942206638153201
13,0.5122173228115077,0.8977706265300655
14,0.5065134354130728,1.0890557556148455
15,0.3974754913977398,1.079720195751129
16,0.27312797870139444,1.3516082325590175
17,0.39387856467496385,1.2664134173583659
18,0.5060192576773639,1.2735484220376234
19,0.5008451022572683,1.4767833314580563
20,0.3890130348686541,1.4620441782378228
21,0.2695242875841154,1.792671070108404
22,0.387508851510188,1.6796735052908633
23,0.5002950200959729,1.68851903589127
24,0.5014208855849644,1.8818419402132154
25,0.3900186534677481,1.8803747458792612
26,0.27697543507249467,2.1889410683405948
27,0.39286871110202354,2.078577230853843
28,0.507394194369629,2.086948881097536
29,0.50599625380089,2.277129097476864
30,0.39585148657208596,2.2729317536691442
31,0.2807999851539021,2.5594767824436984
32,0.3981850514045976,2.465016990610217
33,0.5122173228115077,2.468566953324962
34,0.5065134354130728,2.659852082409742
35,0.3974754913977398,2.6505165225460257
36,0.27312797870139444,2.922404559353914
37,0.39387856467496385,2.8372097441532627
38,0.5060192576773639,2.84434474883252
39,0.5008451022572683,3.047579658252953
40,0.3890130348686541,3.0328405050327194
41,0.2695242875841154,-2.919717910276286
42,0.387508851510188,-3.0327154750938266
43,0.5002950200959729,-3.02386994449342
44,0.5014208855849644,-2.8305470401714743
45,0.3900186534677481,-2.8320142345054284
46,0.27697543507249467,-2.523447912044095
47,0.39286871110202354,-2.6338117495308473
48,0.507394194369629,-2.625440099287154
49,0.50599625380089,-2.4352598829078262
50,0.39585148657208596,-2.439457226715546
51,0.2807999851539021,-2.1529121979409918
52,0.3981850514045976,-2.2473719897744733
53,0.5122173228115077,-2.2438220270597276
54,0.5065134354130728,-2.0525368979749476
55,0.3974754913977398,-2.061872457838664
56,0.27312797870139444,-1.7899844210307758
57,0.39387856467496385,-1.8751792362314272
58,0.5060192576773639,-1.86804423155217
59,0.5008451022572683,-1.6648093221317368
60,0.3890130348686541,-1.6795484753519703
61,0.2695242875841154,-1.348921583481389
62,0.387508851510188,-1.46191914829893
63,0.5002950200959729,-1.4530736176985233
64,0.5014208855849644,-1.2597507133765777
65,0.3900186534677481,-1.2612179077105319
66,0.27697543507249467,-0.9526515852491984
67,0.39286871110202354,-1.0630154227359505
68,0.507394194369629,-1.0546437724922573
69,0.50599625380089,-0.8644635561129295
70,0.39585148657208596,-0.8686608999206492
71,0.2807999851539021,-0.5821158711460951
72,0.3981850514045976,-0.6765756629795766
73,0.5122173228115077,-0.6730257002648311
74,0.5065134354130728,-0.48174057118005126
75,0.3974754913977398,-0.4910761310437676
76,0.27312797870139444,-0.2191880942358791
77,0.39387856467496385,-0.30438290943653074
78,0.5060192576773639,-0.29724790475727325
79,0.5008451022572683,-0.09401299533684027
80,0.3890130348686541,-0.10875214855707369
81,0.607138810894386,0.08774224545067875
82,0.710488671195086,0.08765218931442573
83,0.828295172707327,0.08763843993844284
84,0.9613642424468206,0.08763598902188098
85,1.1085844750422928,0.08763619217955204
86,1.2687867688640808,0.08757843815431332
87,1.4390799310220994,0.08764856998101278
88,1.6149493812962037,0.08738821605764473
89,1.788374323668025,0.08751221862544002
90,1.9539691550856255,0.08755229453467897
91,2.107812874833492,0.08762632092714619
92,2.212864825210009,0.08766372894021242
93,0.6071471318878299,0.26229304863019065
94,0.7105061648001133,0.2621865395030638
95,0.8283335453310461,0.26220844310207503
96,0.961407113107507,0.26221702263160496
97,1.1085827374703152,0.26218328664368773
98,1.2688036284794986,0.262186144582014
99,1.439087478897786,0.262162331032151
100,1.614948577693321,0.26194152493443235
101,1.7883697267632481,0.26213545686542217
102,1.9539666897824262,0.26214068219822595
103,2.1077863082688473,0.2621996500860934
104,2.2128461050252106,0.26226107872212184
105,0.6071620697105257,0.4368168152409624
106,0.7105093033648373,0.436739680607118
107,0.8283308415282646,0.43676033581294854
108,0.9614081817864816,0.43672323385389344
109,1.1086211236554178,0.4367339272370936
110,1.2688135581144897,0.43674078797488414
111,1.4390974820144813,0.43674077245702925
112,1.614948560186925,0.4364884804721242
113,1.7883531119976452,0.4366878484771174
114,1.9539288158972545,0.4367075959035213
115,2.10777155436781,0.43678631796513906
116,2.212842615310627,0.43679979257113105
117,0.6071728823345612,0.6113428658918061
118,0.7105200847050595,0.6112406417521209
119,0.8283524698458067,0.6112837621771748
120,0.9614496054295099,0.6112807616793384
121,1.1086386693387882,0.6113083315765154
122,1.2688437423154821,0.6113112861111084
123,1.4391101093899343,0.6112613363123595
124,1.61494965757726,0.6109747889988402
125,1.7883325910024668,0.6112360619368356
126,1.9539202402406395,0.611249147916691
127,2.1077541297726534,0.6112871767833291
128,2.212805969864766,0.6113247624225162
129,0.6071867402596526,0.785857802961062
130,0.7105355462162538,0.785768625617157
131,0.8283635533339638,0.7857985781161511
132,0.9614698790854608,0.7858608768675318
133,1.1086743923794733,0.7858166254208359
134,1.2688634951020272,0.7857877313725067
135,1.439121821533981,0.7858133760099059
136,1.6149482408292202,0.7855104913551509
137,1.7883075164008315,0.7857546625103414
138,1.953883198138957,0.785788143929043
139,2.107709493598778,0.7858272938355596
140,2.212776959487378,0.7858396684079076
141,0.6072114858891046,0.96042671397664
142,0.7105375209348004,0.9602729358918896
143,0.8283986314951851,0.9602961129341576
144,0.9614865934617024,0.9603190622943276
145,1.1086974314166564,0.9603384298758838
146,1.268881460373802,0.9602879578929353
147,1.4391293416947692,0.9603081507005572
148,1.6149476471760553,0.9600330355177208
149,1.7882929624579003,0.9602378569507853
150,1.953861140072275,0.9602890900098029
151,2.1076735995917164,0.9603168936403516
152,2.212745799437499,0.9603644557562885
153,0.6072134566179597,1.1349377829457217
154,0.7105292768035922,1.134768391932493
155,0.8283962535708946,1.1348108159214374
156,0.9615062847403156,1.134850405775349
157,1.1087136085253892,1.1348005577018694
158,1.2689092031875884,1.1347892439059921
159,1.4391358503638714,1.1347963602038444
160,1.6149492275376771,1.1345473288916523
161,1.7882846466329307,1.134691176752016
162,1.9538368776480561,1.1347617490775692
163,2.1076690656120003,1.1348254295604527
164,2.2127536201345106,1.1348550722710564
165,0.607224862630289,1.3093775854660015
166,0.7105309728821119,1.3093310786122663
167,0.8283939792297402,1.309324348159215
168,0.9615171297632858,1.309306342203852
169,1.1087235981331123,1.3092507481727633
170,1.2689052625547215,1.3092333901574866
171,1.4391442825962988,1.3092032722910227
172,1.6149485913332453,1.309019182423568
173,1.7882782102474881,1.3091799822840644
174,1.9538436751009052,1.3092176353462135
175,2.1076639180141954,1.309290637377461
176,2.2127583319258437,1.309355145744657
177,0.607204187223545,1.4839376509257263
178,0.7105343090248877,1.4838614182859047
179,0.8284104794590365,1.4838068195758112
180,0.9615212470524722,1.483786173591787
181,1.1087161524857647,1.4837172262082383
182,1.2689165745631046,1.4836554512198419
183,1.439138631148154,1.483812515957764
184,1.6149501700818787,1.4835736169378393
185,1.7882797001541626,1.4836175808146077
186,1.9538323097136456,1.4836635292806835
187,2.107646702349207,1.483730520498282
188,2.2127411579936456,1.4838960543951718
189,0.607138810894386,1.6585385722455754
190,0.710488671195086,1.6584485161093223
191,0.828295172707327,1.6584347667333394
192,0.9613642424468206,1.6584323158167775
193,1.1085844750422928,1.6584325189744487
194,1.2687867688640808,1.65837476494921
195,1.4390799310220994,1.6584448967759093
196,1.6149493812962037,1.6581845428525412
197,1.788374323668025,1.6583085454203366
198,1.9539691550856255,1.6583486213295755
199,2.107812874833492,1.6584226477220427
200,2.212864825210009,1.658460055735109
201,0.6071471318878299,1.8330893754250872
202,0.7105061648001133,1.8329828662979604
203,0.8283335453310461,1.8330047698969716
204,0.961407113107507,1.8330133494265015
205,1.1085827374703152,1.8329796134385843
206,1.2688036284794986,1.8329824713769107
207,1.439087478897786,1.8329586578270476
208,1.614948577693321,1.832737851729329
209,1.7883697267632481,1.8329317836603187
210,1.9539666897824262,1.8329370089931225
211,2.1077863082688473,1.83299597688099
212,2.2128461050252106,1.8330574055170186
213,0.6071620697105257,2.007613142035859
214,0.7105093033648373,2.0075360074020145
215,0.8283308415282646,2.007556662607845
216,0.9614081817864816,2.00751956064879
217,1.1086211236554178,2.00753025403199
218,1.2688135581144897,2.007537114769781
219,1.4390974820144813,2.007537099251926
220,1.614948560186925,2.0072848072670206
221,1.7883531119976452,2.007484175272014
222,1.9539288158972545,2.007503922698418
223,2.10777155436781,2.007582644760036
224,2.212842615310627,2.0075961193660277
225,0.6071728823345612,2.182139192686703
226,0.7105200847050595,2.1820369685470173
227,0.8283524698458067,2.1820800889720715
228,0.9614496054295099,2.182077088474235
229,1.1086386693387882,2.182104658371412
230,1.2688437423154821,2.182107612906005
231,1.4391101093899343,2.182057663107256
232,1.61494965757726,2.1817711157937367
233,1.7883325910024668,2.182032388731732
234,1.9539202402406395,2.182045474711588
235,2.1077541297726534,2.182083503578226
236,2.212805969864766,2.182121089217413
237,0.6071867402596526,2.3566541297559587
238,0.7105355462162538,2.3565649524120538
239,0.8283635533339638,2.3565949049110477
240,0.9614698790854608,2.3566572036624285
241,1.1086743923794733,2.3566129522157326
242,1.2688634951020272,2.3565840581674036
243,1.439121821533981,2.3566097028048025
244,1.6149482408292202,2.3563068181500477
245,1.7883075164008315,2.356550989305238
246,1.953883198138957,2.3565844707239396
247,2.107709493598778,2.3566236206304563
248,2.212776959487378,2.3566359952028044
249,0.6072114858891046,2.5312230407715366
250,0.7105375209348004,2.531069262686786
251,0.8283986314951851,2.531092439729054
252,0.9614865934617024,2.531115389089224
253,1.1086974314166564,2.5311347566707805
254,1.268881460373802,2.531084284687832
255,1.4391293416947692,2.531104477495454
256,1.6149476471760553,2.5308293623126175
