QC2RE3185 -3.202477 .04 0 0 0 0 .001095398703605875
QC2RE3145 -3.162477 .04 0 0 0 0 .001095398703605875
QC2RE3105 -3.122477 .04 4.550319147294255e-05 .05505612612779998 -4.401481525106921e-06 0 .001095398703605875
QC2RE3065 -3.082477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE3025 -3.042477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2985 -3.002477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2945 -2.962477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2905 -2.922477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2865 -2.882477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2825 -2.842477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2785 -2.802477 .04 4.5503191472942564e-05 .055056126127800004 -4.401481525106922e-06 0 .001095398703605875
QC2RE2745 -2.762477 .04 4.550319147294255e-05 .05505612612779998 -4.401481525106921e-06 0 .001095398703605875
QC2RE2705 -2.722477 .04 0 0 0 0 .001095398703605875
QC2RE2665 -2.682477 .04 0 0 0 0 .001095398703605875
QC2RPE2600 -2.618153 .04 -6.109793296428768e-07 -7.991143577627301e-07 3.741106947166324e-09 1.4449206296219954e-08 0
QC2RPE2560 -2.578153 .04 -6.000963720077297e-07 -6.931979804519767e-07 3.7123765999865832e-09 1.3650725084153444e-08 0
QC2RPE2520 -2.538153 .04 -7.993390283003754e-07 -8.004504712228782e-07 4.877775659010652e-09 1.77502612812244e-08 0
QC2RPE2480 -2.498153 .04 -1.0913964454559961e-06 -8.367399027016609e-07 6.436627981940008e-09 2.3265809590089553e-08 0
QC2RPE2440 -2.458153 .04 -1.533118260941595e-06 -6.417144473870948e-07 8.470200520293584e-09 3.0845325916860924e-08 0
QC2RPE2400 -2.418153 .04 -2.224566165826592e-06 1.9498684390547892e-07 1.0940792393003817e-08 4.1885967081721786e-08 0
QC2RPE2360 -2.378153 .04 -3.347602803277453e-06 2.7219585981517797e-06 1.3356342971122958e-08 6.045791737737728e-08 0
QC2RPE2320 -2.338153 .04 -5.239198640439828e-06 9.639140796454743e-06 1.3766928919811769e-08 1.0099005359878515e-07 0
QC2RPE2280 -2.298153 .04 -8.498676820046018e-06 2.7908501890088443e-05 5.930784547780834e-09 2.1866683251877148e-07 0
QC2RPE2240 -2.258153 .04 -1.3742052887760879e-05 7.489969975797516e-05 -2.779512601511365e-08 6.210911706473093e-07 0
QC2RPE2200 -2.218153 .04 -1.6554360960171012e-05 .00018854113771650776 -1.2875019969433024e-07 1.9797598857048997e-06 0
QC2RPE2160 -2.178153 .04 2.252406278445468e-06 .00042438497250936463 -3.5892156003262875e-07 5.688312366252247e-06 0
QC2RPE2120 -2.138153 .04 2.589957671937297e-05 .0007943827387818758 -7.278100402199868e-07 1.2381155009427766e-05 0
QC2RPE2080 -2.098153 .04 3.685402668435326e-05 .0012005566048443703 -1.1174950370049587e-06 1.959591163100567e-05 0
QC2RPE2040 -2.058153 .04 3.0195040104925486e-05 .0015308783007750497 -1.4043470933661775e-06 2.4701578818629202e-05 0
QC2RPE2000 -2.018153 .04 1.826390783620135e-05 .0017727868204141335 -1.5864295395746454e-06 2.799991758660831e-05 0
QC2RPE1960 -1.978153 .04 8.80251965229475e-06 .001967220107225952 -1.717796545223986e-06 3.0689909831691524e-05 0
QC2RPE1920 -1.938153 .04 2.1147426206165086e-06 .0021434140268658903 -1.8340623735877144e-06 3.3367497693508456e-05 0
QC2RPE1880 -1.898153 .04 -1.3839193144443388e-06 .0023009759679678246 -1.9393678159236296e-06 3.6126020924162244e-05 0
QC2RPE1840 -1.858153 .04 -1.317815722902424e-07 .00238989566337783 -1.9916303731291895e-06 3.839857876828889e-05 0
QC2RPE1800 -1.818153 .04 3.985075949124051e-06 .002260263860820132 -1.8538110282074597e-06 3.7402685103534415e-05 0
QC2RPE1760 -1.778153 .04 7.253820391114589e-07 .0017140834079428274 -1.343255956153495e-06 2.7626884322757657e-05 0
QC2RPE1720 -1.738153 .04 -9.077063229502907e-06 .0009076147188024667 -6.226084148565665e-07 1.1994648257041103e-05 0
QC2RPE1680 -1.698153 .04 -6.40307089300923e-05 .0004527305356014225 -4.753591072268645e-08 4.4594349151521345e-06 0
QC1RE1630 -1.648782 .04 3.6250709028569165e-06 .001671438479550158 -3.420024836620526e-07 -3.736560108431933e-15 -.11677803885261541
QC1RE1590 -1.608782 .04 -4.4735814506020015e-05 -.020626675665971473 4.2205408058766505e-06 -2.5583544551533698e-15 -.11677803885261541
QC1RE1550 -1.568782 .04 -.00024781912897100844 -.11426381420686274 2.3380165485937463e-05 -2.692539986612304e-15 -.11677803885261541
QC1RE1510 -1.528782 .04 -.00029710094242385994 -.13698654751455933 2.8029592504582018e-05 -1.822279531359047e-15 -.11677803885261541
QC1RE1470 -1.488782 .04 -.0002959997827112845 -.13647882759264593 2.792570505887369e-05 -1.285203656646703e-15 -.11677803885261541
QC1RE1430 -1.448782 .04 -.00029547008816968763 -.13623459737951138 2.787573173320285e-05 -8.119590302145975e-16 -.11677803885261541
QC1RE1390 -1.408782 .04 -.0002954700881696884 -.1362345973795117 2.7875731733202916e-05 -2.5214716196122085e-16 -.11677803885261541
