QC2RP2725	-2.725	.01	-3.2090716904622894e-16	2.5267058050322862e-11	0.0	0.0	0.0	0.0	0.0	
QC2RP2715	-2.715	.01	-8.680943910586646e-16	6.835058075277582e-11	0.0	0.0	0.0	0.0	0.0	
QC2RP2705	-2.705	.01	-1.1288876074822482e-15	8.888448580104803e-11	0.0	0.0	0.0	0.0	0.0	
QC2RP2695	-2.695	.01	-1.3684411670516235e-15	1.0774605786810563e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2685	-2.685	.01	-1.6227533024542074e-15	1.277696662755357e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2675	-2.675	.01	-1.911753362738603e-15	1.5052447515517372e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2665	-2.665	.01	-2.247431669026915e-15	1.769545585853105e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2655	-2.655	.01	-2.6402220296729893e-15	2.0788143651561284e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2645	-2.645	.01	-3.1014611584734302e-15	2.4419772037152825e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2635	-2.635	.01	-3.644459170181078e-15	2.8695139995994084e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2625	-2.625	.01	-4.285233016150956e-15	3.3740359151231215e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2615	-2.615	.01	-5.043243124151419e-15	3.9708653801208364e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2605	-2.605	.01	-5.942265562110439e-15	4.678722801815925e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2595	-2.595	.01	-7.011480138259595e-15	5.52058329512015e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2585	-2.585	.01	-8.286852316529838e-15	6.524764752327755e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2575	-2.575	.01	-9.812909092978421e-15	7.726326103332047e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2565	-2.565	.01	-1.1645033573979021e-14	9.168873982659449e-10	0.0	0.0	0.0	0.0	0.0	
QC2RP2555	-2.555	.01	-1.3852445896129199e-14	1.0906909796896175e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2545	-2.545	.01	-1.6522103560324274e-14	1.300890070523855e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2535	-2.535	.01	-1.9763832904851406e-14	1.5561319953927962e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2525	-2.525	.01	-2.371713165748165e-14	1.867400295723562e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2515	-2.515	.01	-2.8560242981275074e-14	2.2487291869607534e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2505	-2.505	.01	-3.4522357176363164e-14	2.7181642759856516e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2495	-2.495	.01	-4.190013865547769e-14	3.2990638347877465e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2485	-2.485	.01	-5.108029905759605e-14	4.021876124961872e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2475	-2.475	.01	-6.257070240783385e-14	4.926588504354863e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2465	-2.465	.01	-7.704360628727246e-14	6.0661320787953535e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2455	-2.455	.01	-9.53963652612294e-14	7.511161268254665e-09	0.0	0.0	0.0	0.0	0.0	
QC2RP2445	-2.445	.01	-1.1883752362859867e-13	9.356832435388382e-09	0.0	0.0	0.0	0.0	0.0	
