QC2RP2425 -2.430000 .01 4.05986042781761e-08 -2.6721912192992055e-06 5.00134011519748e-09 -3.37159187059357e-12 -.12112327789065604 0 .0010000000000000002
QC2RP2415 -2.420000 .01 3.34410062122263e-08 -5.593962898432961e-06 1.04135612411743e-08 -7.058087646027399e-12 -.12112327789065604 0 .0010000000000000002
QC2RP2405 -2.410000 .01 1.99716791367127e-08 -6.20855950648849e-06 1.15389728680814e-08 -7.833544474284563e-12 -.12112327789065604 0 .0010000000000000002
QC2RP2395 -2.400000 .01 5.38457487758389e-09 -7.0785680810042665e-06 1.31369667405825e-08 -8.931263011790037e-12 -.12112327789065604 0 .0010000000000000002
QC2RP2385 -2.390000 .01 -1.02003477580514e-08 -8.168379816823057e-06 1.51416176507464e-08 -1.0306314453627994e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2375 -2.380000 .01 -2.64989593826881e-08 -9.492335322181648e-06 1.75798381236791e-08 -1.1976792818595185e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2365 -2.370000 .01 -4.30893178326399e-08 -1.1093266231170488e-05 2.05315432955067e-08 -1.3996740193298527e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2355 -2.360000 .01 -5.94085843610547e-08 -1.3034653665273004e-05 2.41151078389287e-08 -1.6446252804229553e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2345 -2.350000 .01 -7.47338353511505e-08 -1.540117483668506e-05 2.84884008735502e-08 -1.9432170685215992e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2335 -2.340000 .01 -8.81528626771686e-08 -1.8303393478788158e-05 3.38575188027764e-08 -2.3093995748381236e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2325 -2.330000 .01 -9.85350683980702e-08 -2.188532718627808e-05 4.04908548565908e-08 -2.761343974698299e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2315 -2.320000 .01 -1.04515445232867e-07 -2.6334883680951373e-05 4.87384763555974e-08 -3.322759205645793e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2305 -2.310000 .01 -1.04498956544367e-07 -3.189754843184758e-05 5.9057511141256e-08 -4.0246189796584346e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2295 -2.300000 .01 -9.67069907058483e-08 -3.889357541475863e-05 7.20439865980506e-08 -4.907330798022322e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2285 -2.290000 .01 -7.92977799261736e-08 -4.773802602669561e-05 8.84698714458186e-08 -6.023264327318683e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2275 -2.280000 .01 -5.05636578090594e-08 -5.8960359803410994e-05 1.09319202272777e-07 -7.43922322492273e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2265 -2.270000 .01 -9.19730672582576e-09 -7.321357105609395e-05 1.3580474196447e-07 -9.237597938615621e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2255 -2.260000 .01 4.54024036144639e-08 -9.124668460690547e-05 1.69316624263935e-07 -1.1512895402745154e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2245 -2.250000 .01 1.12803366704283e-07 -.000113776450247687 2.11183983861927e-07 -1.435555030454363e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2235 -2.240000 .01 1.9103679438674e-07 -.0001411067457512131 2.61968380988295e-07 -1.7803903905704494e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2225 -2.230000 .01 2.75255052811269e-07 -.00017214822836489818 3.19643742370928e-07 -2.1720510235206606e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2215 -2.220000 .01 3.53836261275132e-07 -.00020206931502204166 3.75234563990443e-07 -2.5495752508437615e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2205 -2.210000 .01 3.983757788781e-07 -.00021697807505146206 4.0293964090748e-07 -2.737683997526219e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2195 -2.200000 .01 3.41502033484512e-07 -.00018269355451004318 3.39278118050455e-07 -2.305104884512888e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2185 -2.190000 .01 3.48176200469248e-08 -2.3638117937834025e-05 4.3887858527103e-08 -2.98249936979564e-11 -.12112327789065604 0 .0010000000000000002
QC2RP2175 -2.180000 .01 -8.13513334780978e-07 .0004085512072085916 -7.58770150273212e-07 5.154825444366679e-10 -.12112327789065604 0 .0010000000000000002
QC2RP2165 -2.170000 .01 -2.68495061396626e-06 .0013582716679016796 -2.5225901085924e-06 1.7137762000265373e-09 -.12112327789065604 0 .0010000000000000002
QC2RP2155 -2.160000 .01 -6.16626850028924e-06 .0031231783898944404 -5.80037710243535e-06 3.940617270849043e-09 -.12112327789065604 0 .0010000000000000002
QC2RP2145 -2.150000 .01 -1.16016948783952e-05 .005877919034215072 -1.09164866955464e-05 7.4163644759539675e-09 -.12112327789065604 0 .0010000000000000002
QC2RP2135 -2.140000 .01 -1.86103693415628e-05 .009429644979821973 -1.75127596810159e-05 1.1897694344227756e-08 -.12112327789065604 0 .0010000000000000002
QC2RP2125 -2.130000 .01 -2.5994108918173e-05 .013171301105199998 -2.4461771698464e-05 1.6618665389926205e-08 -.12112327789065604 0 .0010000000000000002
QC2RP2115 -2.120000 .01 -3.23446649812406e-05 .016389353626931936 -3.04383460448776e-05 2.0678988484715804e-08 -.12112327789065604 0 .0010000000000000002
QC2RP2105 -2.110000 .01 -3.68411042861296e-05 .018667850731446722 -3.46699759857933e-05 2.3553843494817857e-08 -.12112327789065604 0 .0010000000000000002
