QC2RE3495	-3.495	.01	0.000	-5.748825544834731e-09	0.0	0.0	0.0	0.0	0.0	
QC2RE3485	-3.485	.01	0.000	-7.83976118699168e-09	0.0	0.0	0.0	0.0	0.0	
QC2RE3475	-3.475	.01	0.000	-9.656581573151685e-09	0.0	0.0	0.0	0.0	0.0	
QC2RE3465	-3.465	.01	0.000	-1.1453624656719186e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3455	-3.455	.01	0.000	-1.3492021792939892e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3445	-3.445	.01	0.000	-1.5972729971428464e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3435	-3.435	.01	0.000	-1.9087659863385874e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3425	-3.425	.01	0.000	-2.3049146059045774e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3415	-3.415	.01	0.000	-2.8064038360254926e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3405	-3.405	.01	0.000	-3.4207131131419625e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3395	-3.395	.01	0.000	-4.114887857208187e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3385	-3.385	.01	0.000	-4.784047640192638e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3375	-3.375	.01	0.000	-5.253248752100089e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3365	-3.365	.01	0.000	-5.336080632870785e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3355	-3.355	.01	0.000	-4.88326314792216e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3345	-3.345	.01	0.000	-3.71050157928856e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3335	-3.335	.01	0.000	-1.3913099570392184e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3325	-3.325	.01	0.000	3.027526643924507e-08	0.0	0.0	0.0	0.0	0.0	
QC2RE3315	-3.315	.01	0.000	1.1422668804748745e-07	0.0	0.0	0.0	0.0	0.0	
QC2RE3305	-3.305	.01	0.000	2.7290919010605154e-07	0.0	0.0	0.0	0.0	0.0	
QC2RE3295	-3.295	.01	0.000	5.706882298892474e-07	0.0	0.0	0.0	0.0	0.0	
QC2RE3285	-3.285	.01	0.000	1.1261470740047197e-06	0.0	0.0	0.0	0.0	0.0	
QC2RE3275	-3.275	.01	0.000	2.15850734826499e-06	0.0	0.0	0.0	0.0	0.0	
QC2RE3265	-3.265	.01	0.000	4.0747763591143865e-06	0.0	0.0	0.0	0.0	0.0	
QC2RE3255	-3.255	.01	0.000	7.634648205112326e-06	0.0	0.0	0.0	0.0	0.0	
QC2RE3245	-3.245	.01	0.000	1.4265294715487185e-05	0.0	0.0	0.0	0.0	0.0	
QC2RE3235	-3.235	.01	0.000	2.6666666483311305e-05	0.0	0.0	0.0	0.0	0.0	
QC2RE3225	-3.225	.01	0.000	4.99769316726273e-05	0.0	0.0	0.0	0.0	0.0	
QC2RE3215	-3.215	.01	0.000	9.398803566108892e-05	0.0	0.0	0.0	0.0	0.0	
QC2RE3205	-3.205	.01	0.000	.00017718902857323177	0.0	0.0	0.0	0.0	0.0	
QC2RE3195	-3.195	.01	0.000	.0003334725640021756	0.0	0.0	0.0	0.0	0.0	
QC2RE3185	-3.185	.01	0.000	.0006210918824698298	0.0	0.0	0.0	0.0	0.0	
QC2RE3175	-3.175	.01	0.000	.0011287192230271818	0.0	0.0	0.0	0.0	0.0	
QC2RE3165	-3.165	.01	0.000	.0019644905076877674	0.0	0.0	0.0	0.0	0.0	
QC2RE3155	-3.155	.01	0.000	.00321024140103951	0.0	0.0	0.0	0.0	0.0	
QC2RE3145	-3.145	.01	0.000	.004847179392649346	0.0	0.0	0.0	0.0	0.0	
QC2RE3135	-3.135	.01	0.000	.006709119129573808	0.0	0.0	0.0	0.0	0.0	
QC2RE3125	-3.125	.01	0.000	.008528245564529982	0.0	0.0	0.0	0.0	0.0	
QC2RE3115	-3.115	.01	0.000	.0100586701381055	0.0	0.0	0.0	0.0	0.0	
QC2RE3105	-3.105	.01	0.000	.011180701446476914	0.0	0.0	0.0	0.0	0.0	
QC2RE3095	-3.095	.01	0.000	.011912403339801814	0.0	0.0	0.0	0.0	0.0	
QC2RE3085	-3.085	.01	0.000	.012348301391888397	0.0	0.0	0.0	0.0	0.0	
QC2RE3075	-3.075	.01	0.000	.012592402316281701	0.0	0.0	0.0	0.0	0.0	
QC2RE3065	-3.065	.01	0.000	.012724237454172957	0.0	0.0	0.0	0.0	0.0	
QC2RE3055	-3.055	.01	0.000	.012794259640963035	0.0	0.0	0.0	0.0	0.0	
QC2RE3045	-3.045	.01	0.000	.012831296467455192	0.0	0.0	0.0	0.0	0.0	
QC2RE3035	-3.035	.01	0.000	.01285093664478989	0.0	0.0	0.0	0.0	0.0	
QC2RE3025	-3.025	.01	0.000	.012861407299431983	0.0	0.0	0.0	0.0	0.0	
QC2RE3015	-3.015	.01	0.000	.0128670227560741	0.0	0.0	0.0	0.0	0.0	
QC2RE3005	-3.005	.01	0.000	.012870051974365191	0.0	0.0	0.0	0.0	0.0	
QC2RE2995	-2.995	.01	0.000	.012871696400248558	0.0	0.0	0.0	0.0	0.0	
QC2RE2985	-2.985	.01	0.000	.012872597387521344	0.0	0.0	0.0	0.0	0.0	
QC2RE2975	-2.975	.01	0.000	.012873100203139642	0.0	0.0	0.0	0.0	0.0	
QC2RE2965	-2.965	.01	0.000	.01287339213414159	0.0	0.0	0.0	0.0	0.0	
QC2RE2955	-2.955	.01	0.000	.012873574663348953	0.0	0.0	0.0	0.0	0.0	
QC2RE2945	-2.945	.01	0.000	.012873700512756341	0.0	0.0	0.0	0.0	0.0	
QC2RE2935	-2.935	.01	0.000	.012873792210522367	0.0	0.0	0.0	0.0	0.0	
QC2RE2925	-2.925	.01	0.000	.01287385241571383	0.0	0.0	0.0	0.0	0.0	
QC2RE2915	-2.915	.01	0.000	.012873872408247057	0.0	0.0	0.0	0.0	0.0	
QC2RE2905	-2.905	.01	0.000	.012873840223887332	0.0	0.0	0.0	0.0	0.0	
QC2RE2895	-2.895	.01	0.000	.012873744404650707	0.0	0.0	0.0	0.0	0.0	
QC2RE2885	-2.885	.01	0.000	.012873567918336328	0.0	0.0	0.0	0.0	0.0	
QC2RE2875	-2.875	.01	0.000	.012873270519056318	0.0	0.0	0.0	0.0	0.0	
QC2RE2865	-2.865	.01	0.000	.012872759906945478	0.0	0.0	0.0	0.0	0.0	
QC2RE2855	-2.855	.01	0.000	.012871846672255218	0.0	0.0	0.0	0.0	0.0	
