  0   -2.1115    2.2597
  1   -1.2455    2.2598
  2   -1.2454    2.2600
  3   -1.2454    2.2601
  4   -1.2453    2.2593
  5   -1.2453    2.2594
  6   -1.2452    2.2595
  7   -1.2452    2.2597
  8   -1.9013    1.4491
  9   -1.9009    2.0491
 10   -1.9006    2.0492
 11   -1.8913    2.0490
 12   -1.2613    2.0490
 13   -1.2605    2.0490
 14   -1.2612    2.0490
 15   -1.2614    2.0490
 16   -1.2607    2.0500
 17   -1.2609    2.0500
 18   -1.2611    1.7410
 19   -1.2571    1.7370
 20   -1.2616    1.7420
 21   -1.2615    1.7420
 22   -1.2616    1.7410
 23   -1.2616    1.7410
 24   -1.2615    1.7420
 25   -1.2616    1.7410
 26   -1.2615    1.7410
 27   -1.2616    1.7410
 28   -1.2616    1.7410
 29   -1.2615    1.7420
 30   -1.2615    1.7420
 31   -1.2615    1.7420
 32   -1.2615    1.7420
 33   -1.2616    1.7420
 34   -1.2616    1.7420
 35   -1.2615    1.7410
 36   -1.2615    1.7410
 37   -1.2616    1.7410
 38   -1.2616    1.7420
 39   -1.2616    1.7420
 40   -1.2615    1.7410
 41   -1.2616    1.7410
 42   -1.2616    1.7420
 43   -1.2615    1.7410
 44   -1.2615    1.7410
 45   -1.2615    1.7410
 46   -1.2615    1.7420
 47   -1.2615    1.7420
 48   -1.2616    1.7410
 49   -1.2615    1.7420
 50   -1.2616    1.7420
 51   -1.2615    1.7420
 52   -1.2616    1.7420
 53   -1.2616    1.7410
 54   -1.2615    1.7410
 55   -1.2615    1.7410
