17   18.0   90.0  0.0  1  -0.000191   0.45174800E-02  -0.16430401E-04   0.19401300E-06  -0.10867300E-08   0.18364000E-11   255.949  -0.53300000E-05
17   18.0   90.0  0.0  0  -0.001996   0.47486200E-02  -0.23056601E-04   0.26607999E-06  -0.14233500E-08   0.23996201E-11   256.305  -0.65528000E-04
18   18.0   90.0  0.0  1  -0.000770   0.45523500E-02  -0.15918400E-04   0.16714000E-06  -0.85873199E-09   0.13324800E-11   295.775  -0.30000000E-08
18   18.0   90.0  0.0  0   0.006806   0.37245600E-02   0.49007300E-05  -0.30985901E-07  -0.75852203E-10   0.24841200E-12   332.643  -0.91875000E-04
19   18.0   90.0  0.0  1   0.010345   0.35490700E-02   0.63280800E-05  -0.31033600E-07  -0.87784798E-10   0.27020300E-12   278.744  -0.40000000E-08
19   18.0   90.0  0.0  0   0.006714   0.37610000E-02   0.39322400E-05  -0.27158100E-07  -0.55620098E-10   0.18037500E-12   355.782  -0.41400000E-06
20   18.0   90.0  0.0  1  -0.001377   0.46834500E-02  -0.21991899E-04   0.26780200E-06  -0.15043500E-08   0.26200300E-11   253.374  -0.76550000E-05
20   18.0   90.0  0.0  0  -0.000534   0.45753600E-02  -0.18767599E-04   0.23093800E-06  -0.13192800E-08   0.22912700E-11   256.756    0.0000000    
21   18.0   90.0  0.0  1   0.007085   0.36752500E-02   0.63338500E-05  -0.41728600E-07  -0.59165600E-10   0.25263800E-12   303.521  -0.73530000E-05
21   18.0   90.0  0.0  0  -0.001470   0.46839600E-02  -0.20987499E-04   0.24113001E-06  -0.12976899E-08   0.21761201E-11   260.534  -0.27000000E-07
22   18.0   90.0  0.0  1  -0.000724   0.45509100E-02  -0.16000299E-04   0.16939900E-06  -0.87759302E-09   0.13737400E-11   292.345  -0.51000000E-07
22   18.0   90.0  0.0  0  -0.000494   0.45147900E-02  -0.14797500E-04   0.15550000E-06  -0.81844897E-09   0.12923600E-11   291.539  -0.91000000E-07
