 nodename,      config, host_from, port_from, host_to, port_to, sender, ropc_nodeid, ropc_script0, ropc_script1
   ROPC501, RC:default,    ecl01,5101,  ecl01,36000, Sender:default,3,daq/rawdata/examples/RecvStream0.py,daq/rawdata/examples/RecvStream1.py
   ROPC502, RC:default,    ecl02,5101,  ecl02,36000, Sender:default,3,daq/rawdata/examples/RecvStream0.py,daq/rawdata/examples/RecvStream1.py
