0.
2.05  140
2.055  123
2.06  143
2.065  151
2.07  133
2.075  136
2.08  122
2.085  110
2.09  130
2.095  137
2.1  124
2.105  122
2.11  132
2.115  131
2.12  119
2.125  128
2.13  119
2.135  129
2.14  129
2.145  132
2.15  124
2.155  112
2.16  128
2.165  134
2.17  139
2.175  143
2.18  114
2.185  128
2.19  109
2.195  106
2.2  121
2.205  120
2.21  121
2.215  99
2.22  115
2.225  110
2.23  108
2.235  122
2.24  117
2.245  111
2.25  91
2.255  98
2.26  118
2.265  103
2.27  104
2.275  91
2.28  85
2.285  110
2.29  97
2.295  98
2.3  77
2.305  103
2.31  95
2.315  96
2.32  89
2.325  87
2.33  74
2.335  94
2.34  84
2.345  76
2.35  79
2.355  75
2.36  76
2.365  70
2.37  72
2.375  78
2.38  63
2.385  71
2.39  51
2.395  70
2.4  74
2.405  69
2.41  59
2.415  50
2.42  69
2.425  57
2.43  77
2.435  49
2.44  47
2.445  56
2.45  45
2.455  33
2.46  52
2.465  52
2.47  48
2.475  60
2.48  58
2.485  55
2.49  33
2.495  43
2.5  46
2.505  42
2.51  48
2.515  42
2.52  52
2.525  37
2.53  45
2.535  36
2.54  35
2.545  33
2.55  36
2.555  37
2.56  29
2.565  20
2.57  30
2.575  25
2.58  17
2.585  8
2.59  23
2.595  23
2.6  19
2.605  20
2.61  21
2.615  24
2.62  18
2.625  14
2.63  13
2.635  20
2.64  18
2.645  8
2.65  10
2.655  14
2.66  9
2.665  12
2.67  12
2.675  4
2.68  11
2.685  9
2.69  13
2.695  10
2.7  8
2.705  12
2.71  8
2.715  4
2.72  5
2.725  6
2.73  4
2.735  5
2.74  4
2.745  6
2.75  9
2.755  5
2.76  6
2.765  5
2.77  6
2.775  6
2.78  3
2.785  7
2.79  6
2.795  1
2.8  3
2.805  6
2.81  3
2.815  6
2.82  8
2.825  4
2.83  2
2.835  9
2.84  8
2.845  10
2.85  4
2.855  6
2.86  7
2.865  5
2.87  2
2.875  6
2.88  5
2.885  7
2.89  6
2.895  3
2.9  5
2.905  7
2.91  5
2.915  10
2.92  8
2.925  7
2.93  3
2.94  4
2.945  2
2.95  5
2.955  4
2.96  3
2.965  2
2.97  7
2.975  3
2.98  2
2.985  7
2.99  4
2.995  8
3.  3
3.005  5
3.01  3
3.015  5
3.02  4
3.025  2
3.03  5
3.035  1
3.04  4
3.05  1
3.055  2
3.065  3
3.08  3
3.085  6
3.09  2
3.095  3
3.1  1
3.12  2
3.125  1
3.13  2
3.135  2
3.14  1
3.145  2
3.15  1
3.155  2
3.16  1
3.165  1
3.17  2
3.175  6
3.185  3
3.19  1
3.195  1
3.21  1
3.215  2
3.22  1
3.235  2
3.24  1
3.245  1
3.25  1
3.26  1
3.265  1
3.27  1
3.275  1
3.295  1
3.3  2
3.315  1
3.345  1
3.37  1
3.375  2
3.385  2
3.39  1
3.405  1
3.41  1
3.415  1
3.42  1
3.435  1
3.44  1
3.445  1
3.475  2
3.48  1
3.485  1
3.49  2
3.5  1
3.51  1
3.515  1
3.52  2
3.53  1
3.585  1
3.615  1
3.645  1
3.665  1
3.695  1
3.75  1
3.765  1
3.81  1
3.99  1
4.  1
9999.
