crate,slot,channel,sector,cable,pin,modid,type,volt
5,4,13,-1,-1,-1,-1,none,0
5,4,14,2,4,15,368,hv,7000
5,4,15,2,4,16,294,hv,7000
5,6,0,3,1,5,370,hv,7000
5,6,1,3,1,6,295,hv,7000
5,6,2,3,1,8,297,hv,7000
5,6,3,3,1,9,371,hv,7000
5,6,4,3,1,2,60,hv,7000
5,6,5,3,1,3,166,hv,7000
5,6,6,3,1,4,15,hv,7000
5,6,7,3,2,18,298,hv,7000
5,6,8,3,2,19,373,hv,7000
5,6,9,3,2,20,167,hv,7000
5,6,10,3,2,16,168,hv,7000
5,6,11,3,2,17,231,hv,7000
5,6,12,-1,-1,-1,-1,none,0
5,6,13,3,2,13,61,hv,7000
5,6,14,3,2,14,230,hv,7000
5,6,15,3,2,15,374,hv,7000
5,8,0,3,3,3,376,hv,7000
5,8,1,3,3,4,64,hv,7000
5,8,2,3,3,5,302,hv,7000
5,8,3,3,3,6,301,hv,7000
5,8,4,3,1,18,369,hv,7000
5,8,5,3,1,19,110,hv,7000
5,8,6,3,3,2,170,hv,7000
5,8,7,3,1,15,229,hv,7000
5,8,8,3,1,16,16,hv,7000
5,8,9,3,1,17,227,hv,7000
5,8,10,3,1,13,296,hv,7000
5,8,11,-1,-1,-1,-1,none,0
5,8,12,3,1,14,59,hv,7000
5,8,13,3,1,10,165,hv,7000
5,8,14,3,1,11,109,hv,7000
5,8,15,3,1,12,228,hv,7000
5,10,0,3,3,19,377,hv,7000
5,10,1,3,3,20,233,hv,7000
5,10,2,3,4,2,235,hv,7000
5,10,3,3,4,3,236,hv,7000
5,10,4,3,3,16,172,hv,7000
5,10,5,3,3,17,19,hv,7000
5,10,6,3,3,18,303,hv,7000
5,10,7,3,3,13,18,hv,7000
5,10,8,3,3,14,63,hv,7000
5,10,9,3,3,15,234,hv,7000
5,10,10,-1,-1,-1,-1,none,0
5,10,11,3,3,11,378,hv,7000
5,10,12,3,3,12,115,hv,7000
5,10,13,3,3,8,114,hv,7000
5,10,14,3,3,9,171,hv,7000
5,10,15,3,3,10,375,hv,7000
5,12,0,3,4,16,306,hv,7000
5,12,1,3,4,17,304,hv,7000
5,12,2,3,4,18,117,hv,7000
5,12,3,3,4,19,20,hv,7000
5,12,4,3,4,13,379,hv,7000
5,12,5,3,4,14,21,hv,7000
5,12,6,3,4,15,381,hv,7000
5,12,7,3,4,11,65,hv,7000
5,12,8,3,4,12,116,hv,7000
5,12,9,-1,-1,-1,-1,none,0
5,12,10,3,4,8,174,hv,7000
5,12,11,3,4,9,380,hv,7000
5,12,12,3,4,10,66,hv,7000
5,12,13,3,4,4,237,hv,7000
5,12,14,3,4,5,305,hv,7000
5,12,15,3,4,6,173,hv,7000
6,0,0,4,2,14,241,hv,7000
6,0,1,4,2,15,387,hv,7000
6,0,2,4,2,16,178,hv,7000
6,0,3,4,2,17,242,hv,7000
6,0,4,4,2,11,243,hv,7000
6,0,5,4,2,12,70,hv,7000
6,0,6,4,2,13,69,hv,7000
6,0,7,4,2,8,385,hv,7000
6,0,8,4,2,9,179,hv,7000
6,0,9,4,2,10,122,hv,7000
6,0,10,4,2,4,311,hv,7000
6,0,11,4,2,5,24,hv,7000
6,0,12,4,2,6,121,hv,7000
6,0,13,4,2,2,312,hv,7000
6,0,14,4,2,3,120,hv,7000
6,0,15,-1,-1,-1,-1,none,0
6,2,0,4,1,11,118,hv,7000
6,2,1,4,1,12,239,hv,7000
6,2,2,4,1,13,308,hv,7000
6,2,3,4,1,14,67,hv,7000
6,2,4,4,1,8,309,hv,7000
6,2,5,4,1,9,384,hv,7000
6,2,6,4,1,10,175,hv,7000
6,2,7,4,1,4,22,hv,7000
6,2,8,4,1,5,383,hv,7000
6,2,9,4,1,6,307,hv,7000
6,2,10,4,2,20,177,hv,7000
6,2,11,4,1,2,68,hv,7000
6,2,12,4,1,3,176,hv,7000
6,2,13,4,2,18,310,hv,7000
6,2,14,-1,-1,-1,-1,none,0
6,2,15,4,2,19,386,hv,7000
6,4,0,4,3,9,181,hv,7000
6,4,1,4,3,10,388,hv,7000
6,4,2,4,3,11,391,hv,7000
6,4,3,4,3,12,124,hv,7000
6,4,4,4,3,5,314,hv,7000
6,4,5,4,3,6,313,hv,7000
6,4,6,4,3,8,123,hv,7000
6,4,7,4,3,2,180,hv,7000
6,4,8,4,3,3,389,hv,7000
6,4,9,4,3,4,72,hv,7000
6,4,10,4,1,17,238,hv,7000
6,4,11,4,1,18,382,hv,7000
6,4,12,4,1,19,119,hv,7000
6,4,13,-1,-1,-1,-1,none,0
6,4,14,4,1,15,240,hv,7000
6,4,15,4,1,16,23,hv,7000
6,6,0,4,4,5,317,hv,7000
6,6,1,4,4,6,183,hv,7000
6,6,2,4,4,8,184,hv,7000
6,6,3,4,4,9,393,hv,7000
6,6,4,4,4,2,246,hv,7000
6,6,5,4,4,3,247,hv,7000
6,6,6,4,4,4,248,hv,7000
6,6,7,4,3,18,315,hv,7000
6,6,8,4,3,19,390,hv,7000
6,6,9,4,3,20,244,hv,7000
6,6,10,4,3,16,182,hv,7000
6,6,11,4,3,17,26,hv,7000
6,6,12,-1,-1,-1,-1,none,0
6,6,13,4,3,13,25,hv,7000
6,6,14,4,3,14,71,hv,7000
6,6,15,4,3,15,245,hv,7000
6,8,0,5,2,3,129,hv,7000
6,8,1,5,2,4,323,hv,7000
6,8,2,5,2,5,31,hv,7000
6,8,3,5,2,6,130,hv,7000
6,8,4,4,4,18,126,hv,7000
6,8,5,4,4,19,27,hv,7000
6,8,6,5,2,2,324,hv,7000
6,8,7,4,4,15,394,hv,7000
6,8,8,4,4,16,318,hv,7000
6,8,9,4,4,17,316,hv,7000
6,8,10,4,4,13,392,hv,7000
6,8,11,-1,-1,-1,-1,none,0
6,8,12,4,4,14,28,hv,7000
6,8,13,4,4,10,74,hv,7000
6,8,14,4,4,11,73,hv,7000
6,8,15,4,4,12,125,hv,7000
6,10,0,5,2,19,399,hv,7000
6,10,1,5,2,20,187,hv,7000
6,10,2,5,1,2,76,hv,7000
6,10,3,5,1,3,186,hv,7000
6,10,4,5,2,16,188,hv,7000
6,10,5,5,2,17,253,hv,7000
6,10,6,5,2,18,322,hv,7000
6,10,7,5,2,13,77,hv,7000
6,10,8,5,2,14,252,hv,7000
6,10,9,5,2,15,400,hv,7000
6,10,10,-1,-1,-1,-1,none,0
6,10,11,5,2,11,254,hv,7000
6,10,12,5,2,12,78,hv,7000
6,10,13,5,2,8,398,hv,7000
6,10,14,5,2,9,189,hv,7000
6,10,15,5,2,10,131,hv,7000
6,12,0,5,1,16,30,hv,7000
6,12,1,5,1,17,249,hv,7000
6,12,2,5,1,18,395,hv,7000
6,12,3,5,1,19,128,hv,7000
6,12,4,5,1,13,320,hv,7000
6,12,5,5,1,14,75,hv,7000
6,12,6,5,1,15,251,hv,7000
6,12,7,5,1,11,127,hv,7000
6,12,8,5,1,12,250,hv,7000
6,12,9,-1,-1,-1,-1,none,0
6,12,10,5,1,8,321,hv,7000
6,12,11,5,1,9,397,hv,7000
6,12,12,5,1,10,185,hv,7000
6,12,13,5,1,4,29,hv,7000
6,12,14,5,1,5,396,hv,7000
6,12,15,5,1,6,319,hv,7000
7,0,0,5,3,14,79,hv,7000
7,0,1,5,3,15,256,hv,7000
7,0,2,5,3,16,192,hv,7000
7,0,3,5,3,17,33,hv,7000
7,0,4,5,3,11,404,hv,7000
7,0,5,5,3,12,133,hv,7000
7,0,6,5,3,13,32,hv,7000
7,0,7,5,3,8,132,hv,7000
7,0,8,5,3,9,191,hv,7000
7,0,9,5,3,10,401,hv,7000
7,0,10,5,3,4,80,hv,7000
7,0,11,5,3,5,326,hv,7000
7,0,12,5,3,6,325,hv,7000
7,0,13,5,3,2,190,hv,7000
7,0,14,5,3,3,402,hv,7000
7,0,15,-1,-1,-1,-1,none,0
7,2,0,5,4,11,81,hv,7000
7,2,1,5,4,12,134,hv,7000
7,2,2,5,4,13,405,hv,7000
7,2,3,5,4,14,35,hv,7000
7,2,4,5,4,8,194,hv,7000
7,2,5,5,4,9,406,hv,7000
7,2,6,5,4,10,82,hv,7000
7,2,7,5,4,4,259,hv,7000
7,2,8,5,4,5,329,hv,7000
7,2,9,5,4,6,193,hv,7000
7,2,10,5,3,20,255,hv,7000
7,2,11,5,4,2,257,hv,7000
7,2,12,5,4,3,258,hv,7000
7,2,13,5,3,18,327,hv,7000
7,2,14,-1,-1,-1,-1,none,0
7,2,15,5,3,19,403,hv,7000
7,4,0,6,2,9,199,hv,7000
7,4,1,6,2,10,140,hv,7000
7,4,2,6,2,11,265,hv,7000
7,4,3,6,2,12,86,hv,7000
7,4,4,6,2,5,38,hv,7000
7,4,5,6,2,6,139,hv,7000
7,4,6,6,2,8,411,hv,7000
7,4,7,6,2,2,336,hv,7000
7,4,8,6,2,3,138,hv,7000
7,4,9,6,2,4,335,hv,7000
7,4,10,5,4,17,328,hv,7000
7,4,11,5,4,18,135,hv,7000
7,4,12,5,4,19,34,hv,7000
7,4,13,-1,-1,-1,-1,none,0
7,4,14,5,4,15,407,hv,7000
7,4,15,5,4,16,330,hv,7000
7,6,0,6,1,5,409,hv,7000
7,6,1,6,1,6,331,hv,7000
7,6,2,6,1,8,333,hv,7000
7,6,3,6,1,9,410,hv,7000
7,6,4,6,1,2,84,hv,7000
7,6,5,6,1,3,196,hv,7000
7,6,6,6,1,4,36,hv,7000
7,6,7,6,2,18,334,hv,7000
7,6,8,6,2,19,412,hv,7000
7,6,9,6,2,20,197,hv,7000
7,6,10,6,2,16,198,hv,7000
7,6,11,6,2,17,264,hv,7000
7,6,12,-1,-1,-1,-1,none,0
7,6,13,6,2,13,85,hv,7000
7,6,14,6,2,14,263,hv,7000
7,6,15,6,2,15,413,hv,7000
7,8,0,6,3,3,415,hv,7000
7,8,1,6,3,4,88,hv,7000
7,8,2,6,3,5,338,hv,7000
7,8,3,6,3,6,337,hv,7000
7,8,4,6,1,18,408,hv,7000
7,8,5,6,1,19,137,hv,7000
7,8,6,6,3,2,200,hv,7000
7,8,7,6,1,15,262,hv,7000
7,8,8,6,1,16,37,hv,7000
7,8,9,6,1,17,260,hv,7000
7,8,10,6,1,13,332,hv,7000
7,8,11,-1,-1,-1,-1,none,0
7,8,12,6,1,14,83,hv,7000
7,8,13,6,1,10,195,hv,7000
7,8,14,6,1,11,136,hv,7000
7,8,15,6,1,12,261,hv,7000
7,10,0,6,3,19,416,hv,7000
7,10,1,6,3,20,266,hv,7000
7,10,2,6,4,2,268,hv,7000
7,10,3,6,4,3,269,hv,7000
7,10,4,6,3,16,202,hv,7000
7,10,5,6,3,17,40,hv,7000
7,10,6,6,3,18,339,hv,7000
7,10,7,6,3,13,39,hv,7000
7,10,8,6,3,14,87,hv,7000
7,10,9,6,3,15,267,hv,7000
7,10,10,-1,-1,-1,-1,none,0
7,10,11,6,3,11,417,hv,7000
7,10,12,6,3,12,142,hv,7000
7,10,13,6,3,8,141,hv,7000
7,10,14,6,3,9,201,hv,7000
7,10,15,6,3,10,414,hv,7000
7,12,0,6,4,16,342,hv,7000
7,12,1,6,4,17,340,hv,7000
7,12,2,6,4,18,144,hv,7000
7,12,3,6,4,19,41,hv,7000
7,12,4,6,4,13,418,hv,7000
7,12,5,6,4,14,42,hv,7000
7,12,6,6,4,15,420,hv,7000
7,12,7,6,4,11,89,hv,7000
7,12,8,6,4,12,143,hv,7000
7,12,9,-1,-1,-1,-1,none,0
7,12,10,6,4,8,204,hv,7000
7,12,11,6,4,9,419,hv,7000
7,12,12,6,4,10,90,hv,7000
7,12,13,6,4,4,270,hv,7000
7,12,14,6,4,5,341,hv,7000
7,12,15,6,4,6,203,hv,7000
